Date,URL,EventCode,GoldsteinScale,AvgTone
2025-06-13,https://www.creativereview.co.uk/uk-aids-memorial-quilt-tate-modern/,016,-2.0,1.29310344827587
2025-06-13,https://www.creativereview.co.uk/uk-aids-memorial-quilt-tate-modern/,045,5.0,1.29310344827587
2025-06-13,https://www.skynews.com.au/world-news/united-states/alleged-la-riot-leaders-father-slams-him-for-handing-out-supplies-to-antiice-protesters/news-story/a67faedd24fe4c66fa37142adf4d9ae2?nk=350bcc2a8459236600fdf3248c7d4f2b-1749800792,073,7.4,-3.83663366336634
2025-06-13,https://www.insurancejournal.com/news/national/2025/06/13/827210.htm,1712,-9.2,-4.06032482598607
2025-06-13,https://www.dnews.com/local-news/federal-land-sell-off-may-be-included-in-trump-budget-bill-36c9b48d,0833,5.0,1.29449838187703
2025-06-13,https://www.azfamily.com/2025/06/13/police-searching-teen-boy-who-walked-into-mcdowell-sonoran-preserve/,073,7.4,-1.08695652173913
2025-06-13,https://www.yahoo.com/news/anti-ice-protest-mostly-peaceful-053032498.html,175,-9.0,-3.65591397849463
2025-06-13,https://www.fool.com/investing/2025/06/12/buy-xrp-ripple-wall-street-says-crypto-soar-150/,045,5.0,-0.64935064935065
2025-06-13,https://www.theguardian.com/stage/2025/jun/13/drew-mconie-dream-ballet-regents-park-open-air-theatre,0874,10.0,4.9808429118774
2025-06-13,https://www.tamatoledonews.com/news/local-news/2025/06/13/sentencing-of-former-elberon-librarian-rescheduled-over-allegation-of-prosecutorial-misconduct/,1712,-9.2,-2.90748898678414
2025-06-13,https://theconservativetreehouse.com/blog/2025/06/13/june-13th-2025-presidential-politics-trump-administration-day-145/,1821,-9.0,-5.68383658969804
2025-06-13,https://nkytribune.com/2025/06/beshear-says-trump-ups-risks-by-confusing-chain-of-command-in-la-protest-response/,175,-9.0,-3.6697247706422
2025-06-13,https://www.yahoo.com/news/vandals-smash-car-windows-same-025347354.html,1712,-9.2,-3.42205323193916
2025-06-13,https://www.fool.com/investing/2025/06/12/buy-xrp-ripple-wall-street-says-crypto-soar-150/,045,5.0,-0.64935064935065
2025-06-13,https://www.arkansasonline.com/news/2025/jun/13/small-businesses-in-arkadelphia-offered-free/,026,4.0,5.07246376811594
2025-06-13,https://www.arkansasonline.com/news/2025/jun/13/small-businesses-in-arkadelphia-offered-free/,026,4.0,5.07246376811594
2025-06-13,https://www.arkansasonline.com/news/2025/jun/13/trump-backers-call-for-walmart-boycott-amid-furor/,075,7.0,-2.75735294117647
2025-06-13,https://www.arkansasonline.com/news/2025/jun/13/trump-backers-call-for-walmart-boycott-amid-furor/,075,7.0,-2.75735294117647
2025-06-13,https://www.arkansasonline.com/news/2025/jun/13/trump-backers-call-for-walmart-boycott-amid-furor/,163,-8.0,-2.75735294117647
2025-06-13,https://www.arkansasonline.com/news/2025/jun/13/trump-backers-call-for-walmart-boycott-amid-furor/,154,-7.2,-2.75735294117647
2025-06-13,https://www.arkansasonline.com/news/2025/jun/13/trump-backers-call-for-walmart-boycott-amid-furor/,154,-7.2,-2.75735294117647
2025-06-13,https://nkytribune.com/2025/06/opinion-bill-straub-trumps-use-of-national-guard-marines-in-la-is-far-from-american-exceptionalism/,175,-9.0,-4.76524176594253
2025-06-13,https://nkytribune.com/2025/06/opinion-bill-straub-trumps-use-of-national-guard-marines-in-la-is-far-from-american-exceptionalism/,114,-2.0,-4.76524176594253
2025-06-13,https://nkytribune.com/2025/06/opinion-bill-straub-trumps-use-of-national-guard-marines-in-la-is-far-from-american-exceptionalism/,145,-7.5,-4.76524176594253
2025-06-13,https://nkytribune.com/2025/06/opinion-bill-straub-trumps-use-of-national-guard-marines-in-la-is-far-from-american-exceptionalism/,114,-2.0,-4.76524176594253
2025-06-13,https://www.aljazeera.com/news/2025/6/13/how-the-world-is-reacting-to-israel-attacks-on-iran-nuclear-military-sites,160,-4.0,-9.5100864553314
2025-06-13,https://nkytribune.com/2025/06/beshear-says-trump-ups-risks-by-confusing-chain-of-command-in-la-protest-response/,133,-5.8,-3.6697247706422
2025-06-13,https://foodpoisoningbulletin.com/2025/ca-vien-trang-white-fish-balls-recalled-for-ineligibility/,061,6.4,-2.51572327044025
2025-06-13,https://foodpoisoningbulletin.com/2025/ca-vien-trang-white-fish-balls-recalled-for-ineligibility/,061,6.4,-2.51572327044025
2025-06-13,https://www.tribtoday.com/news/local-news/2025/06/bridges-across-trumbull-to-be-tested-for-load-tolerances/,031,5.2,1.68067226890756
2025-06-13,https://nkytribune.com/2025/06/opinion-bill-straub-trumps-use-of-national-guard-marines-in-la-is-far-from-american-exceptionalism/,114,-2.0,-4.76524176594253
2025-06-13,https://nkytribune.com/2025/06/opinion-bill-straub-trumps-use-of-national-guard-marines-in-la-is-far-from-american-exceptionalism/,114,-2.0,-4.76524176594253
2025-06-13,https://www.tribtoday.com/news/local-news/2025/06/bridges-across-trumbull-to-be-tested-for-load-tolerances/,031,5.2,1.68067226890756
2025-06-13,https://www.tribtoday.com/news/local-news/2025/06/bridges-across-trumbull-to-be-tested-for-load-tolerances/,031,5.2,1.68067226890756
2025-06-13,https://www.tribtoday.com/news/local-news/2025/06/bridges-across-trumbull-to-be-tested-for-load-tolerances/,031,5.2,1.68067226890756
2025-06-13,https://www.yahoo.com/news/vandals-smash-car-windows-same-025347354.html,0214,3.4,-3.42205323193916
2025-06-13,https://www.yahoo.com/news/vandals-smash-car-windows-same-025347354.html,1712,-9.2,-3.42205323193916
2025-06-13,https://www.yahoo.com/news/suspect-mass-shooting-macon-bar-004635001.html,182,-9.5,-12.8205128205128
2025-06-13,https://info.wiara.pl/doc/9303194.Izrael-zaatakowal-obiekty-nuklearne-Iranu,041,1.0,-5.29157667386609
2025-06-13,https://www.rtrs.tv/vijesti/vijest.php?id=603676,011,-0.1,3.39256865912763
2025-06-13,https://vaartha.com/us-embassy-staff-evacuated-from-iraq/international/501620/,164,-7.0,-1.80995475113123
2025-06-13,https://info.wiara.pl/doc/9303194.Izrael-zaatakowal-obiekty-nuklearne-Iranu,041,1.0,-5.29157667386609
2025-06-13,https://lounaeestlane.ee/soja-ulevaade-1206-paev-vene-poole-edenemine-jatkus/,138,-7.0,-3.56547817394202
