model,split,accuracy,f1_macro,f1_up,precision_up,recall_up,mcc,roc_auc,majority_baseline,lift_over_majority,pred_up_rate
majority,train,0.5591787439613527,0.35863671572424477,0.7172734314484895,0.5591787439613527,1.0,0.0,,0.5591787439613527,0.0,1.0
majority,validation,0.5141242937853108,0.33955223880597013,0.6791044776119403,0.5141242937853108,1.0,0.0,,0.5141242937853108,0.0,1.0
majority,test,0.5795454545454546,0.3669064748201439,0.7338129496402878,0.5795454545454546,1.0,0.0,,0.5795454545454546,0.0,1.0
persistence,train,0.5120772946859904,0.5051451226367644,0.5637149028077754,0.5637149028077754,0.5637149028077754,0.010290245273528802,,0.5591787439613527,-0.047101449275362306,0.5591787439613527
persistence,validation,0.5028248587570622,0.5024278047533861,0.5164835164835165,0.5164835164835165,0.5164835164835165,0.004855609506772297,,0.5141242937853108,-0.011299435028248594,0.5141242937853108
persistence,test,0.5511363636363636,0.5386095901775344,0.6146341463414634,0.6116504854368932,0.6176470588235294,0.07725507108838096,,0.5795454545454546,-0.02840909090909094,0.5852272727272727
"arima(1, 0, 1)",train,0.5289855072463768,0.5061630218687874,0.6123260437375746,0.567219152854512,0.6652267818574514,0.022353679975182457,0.5285540992337052,0.5591787439613527,-0.03019323671497587,0.6557971014492754
"arima(1, 0, 1)",validation,0.4971751412429379,0.48775729197151496,0.5572139303482587,0.509090909090909,0.6153846153846154,-0.012903942227023553,0.46741630462560696,0.5141242937853108,-0.01694915254237289,0.6214689265536724
"arima(1, 0, 1)",test,0.5568181818181818,0.5326797385620915,0.6388888888888888,0.6052631578947368,0.6764705882352942,0.07064565977665178,0.49509803921568624,0.5795454545454546,-0.022727272727272818,0.6477272727272727
logreg_rates,train,0.605072463768116,0.5685183975216055,0.6941066417212348,0.6122112211221122,0.8012958963282938,0.17647985875314492,0.6101245598982219,0.5591787439613527,0.04589371980676327,0.7318840579710145
logreg_rates,validation,0.5536723163841808,0.5115109170305676,0.6550218340611353,0.5434782608695652,0.8241758241758241,0.11047840285213446,0.5168668540761565,0.5141242937853108,0.039548022598870025,0.7796610169491526
logreg_rates,test,0.5681818181818182,0.4975206611570248,0.6859504132231405,0.5928571428571429,0.8137254901960784,0.05317930163283238,0.5295442501324854,0.5795454545454546,-0.011363636363636354,0.7954545454545454
xgb_rates,train,0.7729468599033816,0.7579655071616487,0.8181818181818182,0.7408056042031523,0.9136069114470843,0.5452867902945067,0.869061214828841,0.5591787439613527,0.21376811594202894,0.6896135265700483
xgb_rates,validation,0.5480225988700564,0.5402597402597402,0.6,0.5504587155963303,0.6593406593406593,0.09204080128180009,0.5049833887043189,0.5141242937853108,0.03389830508474567,0.615819209039548
xgb_rates,test,0.5511363636363636,0.5025580480125935,0.658008658008658,0.5891472868217055,0.7450980392156863,0.032225284762816456,0.5030471648118707,0.5795454545454546,-0.02840909090909094,0.7329545454545454
logreg_news,train,0.607487922705314,0.5737333576220309,0.6936852026390198,0.6153846153846154,0.7948164146868251,0.18254156458297782,0.6156099292878487,0.5591787439613527,0.048309178743961345,0.7222222222222222
logreg_news,validation,0.5141242937853108,0.5133631713554987,0.532608695652174,0.5268817204301075,0.5384615384615384,0.026857665194479786,0.5276003066700742,0.5141242937853108,0.0,0.5254237288135594
logreg_news,test,0.5170454545454546,0.5035672805707649,0.5853658536585366,0.5825242718446602,0.5882352941176471,0.007167996286550812,0.48979862215156333,0.5795454545454546,-0.0625,0.5852272727272727
logreg_combined,train,0.6243961352657005,0.5961438028427456,0.7029608404966571,0.6301369863013698,0.7948164146868251,0.2211096864750229,0.6489836977425368,0.5591787439613527,0.06521739130434778,0.7053140096618358
logreg_combined,validation,0.519774011299435,0.5187909803294419,0.5405405405405406,0.5319148936170213,0.5494505494505495,0.0378807715692834,0.5024278047533861,0.5141242937853108,0.005649717514124242,0.5310734463276836
logreg_combined,test,0.5454545454545454,0.5318526399787206,0.6116504854368932,0.6057692307692307,0.6176470588235294,0.06384727609467736,0.5043720190779015,0.5795454545454546,-0.03409090909090917,0.5909090909090909
xgb_combined,train,0.9782608695652174,0.977855699512659,0.9808510638297873,0.9664570230607966,0.9956803455723542,0.9562914862345748,0.997958519482825,0.5591787439613527,0.4190821256038647,0.5760869565217391
xgb_combined,validation,0.5084745762711864,0.5044250635600038,0.5492227979274611,0.5196078431372549,0.5824175824175825,0.012794831039423709,0.4822386915410171,0.5141242937853108,-0.005649717514124353,0.576271186440678
xgb_combined,test,0.5397727272727273,0.5160074690205398,0.6232558139534884,0.5929203539823009,0.6568627450980392,0.0362874286086571,0.5280869104398517,0.5795454545454546,-0.03977272727272729,0.6420454545454546
logreg_tfidf,train,0.7101449275362319,0.692939082278481,0.765625,0.6987522281639929,0.8466522678185745,0.40749485431667076,0.7751176070297938,0.5591787439613527,0.15096618357487923,0.677536231884058
logreg_tfidf,validation,0.519774011299435,0.5192215511456236,0.5355191256830601,0.532608695652174,0.5384615384615384,0.03847629069827407,0.5135445949399438,0.5141242937853108,0.005649717514124242,0.519774011299435
logreg_tfidf,test,0.4715909090909091,0.44126984126984126,0.5714285714285714,0.5391304347826087,0.6078431372549019,-0.1124148072713271,0.4577371489136195,0.5795454545454546,-0.10795454545454547,0.6534090909090909
